keys,ru,en
BTN_CANCEL_BIG,ОТМЕНА,CANCEL
SECTION_SERVER,СЕРВЕР,SERVER
LOBBY_BTN_READY,  ГОТОВ,  READY
PAUSE_TITLE,  ПАУЗА,  PAUSED
ACTION_YOUR_TURN,Ваш ход,Your turn
LOBBY_TAG_HOST,Ведущий,Host
LOBBY_TAG_READY,Готов ✓,Ready ✓
SECTION_DISPLAY,ДИСПЛЕЙ,DISPLAY
SECTION_AUDIO,ЗВУК,AUDIO
FORM_PASSWORD,Пароль:,Password:
BTN_CREATE_BIG,СОЗДАТЬ,CREATE
ACTION_TICKET,🎫 Билет,🎫 Ticket
ACTION_REST,💤 Отдых,💤 Rest
INV_PANEL_SANITY,РАССУДОК,SANITY
ACTION_ENCOUNTER_BTN,  ВСТРЕЧА,  ENCOUNTER
BTN_FINISH_BIG,ЗАВЕРШИТЬ,FINISH
FORM_NAME,Название:,Name:
BTN_SAVE_BIG,СОХРАНИТЬ,SAVE
LOBBY_BTN_READY_DONE,  ГОТОВ  ✓,  READY  ✓
LOBBY_BTN_LEAVE,  ПОКИНУТЬ,  LEAVE
LOBBY_TAG_WAITING,Ожидает...,Waiting...
MENU_BTN_SETTINGS,  НАСТРОЙКИ,  SETTINGS
MENU_GAME_NAME_PLACEHOLDER,Моя игра...,My game...
FORM_RESOLUTION,Разрешение:,Resolution:
LOBBY_BTN_START_GAME,  НАЧАТЬ ИГРУ,  START GAME
LOGIN_BTN_SEND_CODE,ОТПРАВИТЬ КОД,SEND CODE
PAUSE_BTN_SETTINGS,⚙   НАСТРОЙКИ,⚙   SETTINGS
LOBBY_PLAYERS_HEADER,ИГРОКИ В ЛОББИ,PLAYERS IN LOBBY
STATUS_CONNECTING,Подключение...,Connecting...
PAUSE_BTN_RESUME,▶   ПРОДОЛЖИТЬ,▶   CONTINUE
ACTION_FOCUS,✦ Концентрация,✦ Focus
FORM_OPTIONAL,(необязательно),(optional)
MENU_BTN_JOIN_ROOM,ВОЙТИ В КОМНАТУ,JOIN ROOM
LOBBY_PICK_HEADER,ВЫБЕРИТЕ СЫЩИКА,SELECT INVESTIGATOR
APP_TITLE,ТЁМНЫЕ ЗНАМЕНИЯ,DARK OMENS
FORM_IF_REQUIRED,(если требуется),(if required)
LOGIN_LINK_CHANGE_EMAIL,← Изменить email,← Change email
PAUSE_BTN_MAIN_MENU,⌂   ГЛАВНОЕ МЕНЮ,⌂   MAIN MENU
LOBBY_BTN_CLOSE_ROOM,  ЗАКРЫТЬ КОМНАТУ,  CLOSE ROOM
MENU_BTN_CREATE_ROOM,  СОЗДАТЬ КОМНАТУ,  CREATE ROOM
PAUSE_BTN_QUIT_GAME,✕   ВЫЙТИ ИЗ ИГРЫ,✕   QUIT GAME
MENU_OPEN_ROOMS_HEADER,  ОТКРЫТЫЕ КОМНАТЫ,  OPEN ROOMS
LOGIN_STATUS_CHECKING,Проверка сессии...,Checking session...
MENU_STATUS_NO_ROOMS,Нет активных комнат,No active rooms
LOGIN_HEADER_AUTH,  ВХОД / РЕГИСТРАЦИЯ,  LOGIN / REGISTER
LOGIN_CODE_SENT_PREFIX,Код отправлен на ...,Code sent to ...
LOBBY_STATUS_PICK,Выберите своего сыщика,Select your investigator
LOGIN_HEADER_CODE,  ВВЕДИТЕ КОД ИЗ ПИСЬМА,  ENTER CODE FROM EMAIL
LOBBY_STATUS_WAIT_HOST,Ожидайте решения ведущего,Wait for the host's decision
CONSOLE_HEADER,ИГРОВОЙ ЛОГ  ·  ~ чтобы закрыть,GAME LOG  ·  ~ to close
LOGIN_HINT,Войдите через email — пароль не нужен,Sign in with email — no password needed
LOBBY_HINT_HOST,"Нажмите «Готов», затем можно начинать","Press «Ready», then you can start"
LOBBY_HINT_PICK_THEN_READY,"Выберите сыщика, затем нажмите «Готов»","Pick an investigator, then press «Ready»"
LOBBY_HINT_READY_TO_CONFIRM,"Нажмите «Готов», чтобы подтвердить выбор",Press «Ready» to confirm your choice
APP_SUBTITLE,по мотивам настольной игры «Древний Ужас»,based on the Eldritch Horror board game
ENCOUNTER_STUB,У вас встреча на этой локации.\n\n(Заглушка — содержание встреч добавим позже.),You have an encounter at this location.\n\n(Stub — encounter content to be added later.)

MENU_STATUS_PICK_ROOM,Выберите комнату из списка,Pick a room from the list
STATUS_DISCONNECTED,Отключено от сервера,Disconnected from server
TOOLTIP_DELETE_EMPTY_ROOM,Удалить пустую комнату,Delete empty room
LOGIN_SESSION_EXPIRED,Сессия истекла — войдите снова,Session expired — sign in again
ACTION_ROUND_FMT,Раунд %d  ·  осталось действий: %d,Round %d  ·  actions left: %d
LOBBY_ROOM_HOST_FMT,Комната: %s  •  Вы — ведущий игры  •  Ожидание участников...,Room: %s  •  You are the host  •  Waiting for players...
LOBBY_ROOM_GUEST_FMT,Комната: %s  •  Ожидайте начала игры,Room: %s  •  Wait for the host to start

LOGIN_ERR_INVALID_EMAIL,Введите корректный email,Enter a valid email
LOGIN_ERR_CODE_LENGTH,Код должен содержать 6 цифр,Code must be 6 digits
LOGIN_STATUS_CHECKING_CODE,Проверяем код...,Checking code...
LOGIN_ERR_NEED_EMAIL,"Введите email, чтобы получить новый код",Enter email to get a new code
LOGIN_STATUS_CHECK_MAIL,Проверьте почту — код действителен 15 минут,Check your mail — code valid for 15 minutes
LOGIN_STATUS_SUCCESS,Вход выполнен!,Logged in!
STATUS_RECONNECTING,Переподключение...,Reconnecting...
STATUS_NO_CONNECTION,Нет соединения — переподключение...,No connection — reconnecting...
STATUS_UPDATING,Обновление...,Updating...
MENU_ERR_NEED_ROOM_NAME,Введите название комнаты!,Enter a room name!
STATUS_CONNECTING_TO_ROOM,Подключение к комнате...,Connecting to room...
MENU_STATUS_NO_ROOMS_HINT,Активных комнат нет — создайте свою!,No active rooms — create your own!
MENU_ERR_ROOM_NOT_FOUND,"Комната не найдена — возможно, сервер перезапускался",Room not found — server may have restarted
MENU_STATUS_FOUND_ROOMS_FMT,Найдено комнат: %d,Found rooms: %d

PICKER_TAKEN,ЗАНЯТО,TAKEN
PICKER_CONFIRM,ПОДТВЕРДИТЬ ВЫБОР,CONFIRM SELECTION
STATS_HEALTH,ЗДОРОВЬЕ,HEALTH
STATS_SANITY,РАССУДОК,SANITY
STATS_TICKETS,Билеты  ·  —,Tickets  ·  —
SECTION_ATTRIBUTES,АТРИБУТЫ,ATTRIBUTES
SECTION_STARTING_ITEMS,СТАРТОВЫЕ ПРЕДМЕТЫ,STARTING ITEMS
LOBBY_BTN_DETAILS,Подробнее,Details
LOBBY_PLAYERS_DETAILS_TITLE,Состояние игроков,Players state
LOBBY_DETAILS_ROOM_FMT,Комната: %s,Room: %s
LOBBY_DETAILS_ROLE_HOST,Вы — ведущий игры,You are the host
LOBBY_DETAILS_ROLE_GUEST,Ожидайте начала игры,Waiting for the game to start


COND_DEBT_NAME,Долг,Debt
COND_DARK_PACT_NAME,Тёмный пакт,Dark Pact
COND_AMNESIA_NAME,Амнезия,Amnesia
COND_PARANOIA_NAME,Паранойя,Paranoia
COND_HALLUCINATIONS_NAME,Галлюцинации,Hallucinations
COND_LEG_INJURY_NAME,Травма ноги,Leg Injury
COND_INTERNAL_INJURY_NAME,Внутренняя травма,Internal Injury
COND_BACK_INJURY_NAME,Травма спины,Back Injury
COND_POISONED_NAME,Отравление,Poisoned
COND_CURSED_NAME,Проклятие,Cursed
COND_BLESSED_NAME,Благословение,Blessed
COND_DETAINED_NAME,Заключение,Detained
COND_LOST_IN_TIME_NAME,Потерян во времени и пространстве,Lost in Time and Space
COND_HEAD_INJURY_NAME,Травма головы,Head Injury
COND_RIGHTEOUS_NAME,Праведность,Righteous
COND_HAUNTED_NAME,Одержимость призраком,Haunted
COND_DESPAIR_NAME,Отчаяние,Despair
COND_DISEASED_NAME,Болезнь,Diseased
COND_HYPOTHERMIA_NAME,Переохлаждение,Hypothermia
COND_FUNDING_NAME,Финансирование,Funding
COND_INFECTION_NAME,Инфекция,Infection
COND_HUNGER_NAME,Голод,Hunger
COND_HUNTED_NAME,Преследуемый,Hunted
COND_AGREEMENT_NAME,Соглашение,Agreement

COND_DEBT_FRONT,"Локальное действие: проверка Влияния. При успехе сбросьте эту карту.","Local action: test Influence. If you pass, discard this card."
COND_AMNESIA_FRONT,"При действии «Отдых» можно бросить 1 кубик; на 5 или 6 сбросьте эту карту.","When you perform the Rest action, you may roll 1 die; on a 5 or 6, discard this card."
COND_PARANOIA_FRONT,"При действии «Отдых» можно бросить 1 кубик; на 5 или 6 сбросьте эту карту.","When you perform the Rest action, you may roll 1 die; on a 5 or 6, discard this card."
COND_HALLUCINATIONS_FRONT,"При действии «Отдых» можно бросить 1 кубик; на 5 или 6 сбросьте эту карту.","When you perform the Rest action, you may roll 1 die; on a 5 or 6, discard this card."
COND_LEG_INJURY_FRONT,"При действии «Отдых» можно бросить 1 кубик; на 5 или 6 сбросьте эту карту.","When you perform the Rest action, you may roll 1 die; on a 5 or 6, discard this card."
COND_INTERNAL_INJURY_FRONT,"При действии «Отдых» можно бросить 1 кубик; на 5 или 6 сбросьте эту карту.","When you perform the Rest action, you may roll 1 die; on a 5 or 6, discard this card."
COND_BACK_INJURY_FRONT,"При действии «Отдых» можно бросить 1 кубик; на 5 или 6 сбросьте эту карту.","When you perform the Rest action, you may roll 1 die; on a 5 or 6, discard this card."
COND_POISONED_FRONT,"При действии «Отдых» вы не можете восстанавливать здоровье и рассудок; переверните эту карту.","When you perform the Rest action, you cannot recover Health or Sanity; flip this card."
COND_CURSED_FRONT,"Только 6 считаются успехами в ваших проверках. Получаете ещё одно Проклятие — переверните эту карту вместо этого. Получаете Благословение — сбросьте эту карту вместо этого.","Only 6s count as successes on your tests. If you would gain another Cursed condition, flip this card instead. If you would gain a Blessed condition, discard this card instead."
COND_BLESSED_FRONT,"4, 5 и 6 считаются успехами в ваших проверках. Получаете ещё одно Благословение — переверните эту карту вместо этого. Получаете Проклятие — сбросьте эту карту вместо этого.","4s, 5s, and 6s count as successes on your tests. If you would gain another Blessed condition, flip this card instead. If you would gain a Cursed condition, discard this card instead."
COND_DETAINED_FRONT,"Вы не можете двигаться или совершать действия, кроме действия на этой карте. Вместо разрешения встречи переверните эту карту. Локальное действие: проверка Влияния. При успехе сбросьте эту карту.","You cannot move or perform actions other than the action on this card. Instead of resolving an encounter, flip this card. Local action: test Influence. If you pass, discard this card."
COND_LOST_IN_TIME_FRONT,"Уберите фишку сыщика с поля. На вас не действуют другие игровые эффекты; вы не можете двигаться или совершать действия. Вместо разрешения встречи переверните эту карту.","Remove your investigator token from the board. You are not affected by other game effects; you cannot move or perform actions. Instead of resolving an encounter, flip this card."
COND_HEAD_INJURY_FRONT,"При действии «Отдых» вы не можете восстанавливать рассудок; бросьте 1 кубик. На 4, 5 или 6 сбросьте эту карту.","When you perform the Rest action, you cannot recover Sanity; roll 1 die. On a 4, 5, or 6, discard this card."
COND_RIGHTEOUS_FRONT,"При действии «Сосредоточение» или «Отдых» получите 1 жетон сосредоточения или восстановите 1 рассудок.","When you perform the Focus or Rest action, gain 1 focus token or recover 1 Sanity."
COND_HAUNTED_FRONT,"Если вы получаете Благословение или улучшаете навык, можете сбросить эту карту вместо этого.","If you would gain a Blessed condition or improve a skill, you may discard this card instead."
COND_DESPAIR_FRONT,"При действии «Отдых» вы не можете восстанавливать рассудок; переверните эту карту.","When you perform the Rest action, you cannot recover Sanity; flip this card."
COND_DISEASED_FRONT,"При действии «Отдых» бросьте 1 кубик. На 5 или 6 сбросьте эту карту.","When you perform the Rest action, roll 1 die. On a 5 or 6, discard this card."
COND_HYPOTHERMIA_FRONT,"При действии «Отдых» вы не можете восстанавливать здоровье; бросьте 1 кубик. На 4, 5 или 6 сбросьте эту карту. Если вы получаете ещё одно Переохлаждение — переверните эту карту вместо этого.","When you perform the Rest action, you cannot recover Health; roll 1 die. On a 4, 5, or 6, discard this card. If you would gain another Hypothermia condition, flip this card instead."
COND_FUNDING_FRONT,"Можете сбросить эту карту вместо получения состояния «Долг» либо чтобы сбросить состояние «Долг».","You may discard this card instead of gaining a Debt condition, or to discard a Debt condition."
COND_INFECTION_FRONT,"При действии «Отдых» вы не можете восстанавливать здоровье; бросьте 1 кубик. На 4, 5 или 6 сбросьте эту карту.","When you perform the Rest action, you cannot recover Health; roll 1 die. On a 4, 5, or 6, discard this card."
COND_HUNGER_FRONT,"При действии «Отдых» вы не можете восстанавливать рассудок; бросьте 1 кубик. На 4, 5 или 6 сбросьте эту карту.","When you perform the Rest action, you cannot recover Sanity; roll 1 die. On a 4, 5, or 6, discard this card."
COND_HUNTED_FRONT,"При действии «Путешествие» можно бросить 1 кубик. На 5 или 6 сбросьте эту карту.","When you perform the Travel action, you may roll 1 die. On a 5 or 6, discard this card."
COND_AGREEMENT_FRONT,"Локальное действие: проверка Влияния −1. При успехе можете потратить 2 улики, чтобы сбросить эту карту.","Local action: test Influence −1. If you pass, you may spend 2 Clues to discard this card."

COND_DEBT_RECKONING,"К вам пришли требовать долг. Переверните эту карту.","Someone has come to collect your debt. Flip this card."
COND_DARK_PACT_RECKONING,"Бросьте 1 кубик. На 1 — пришло время исполнить вашу часть сделки; переверните эту карту.","Roll 1 die. On a 1, the time has come to honor your end of the bargain; flip this card."
COND_AMNESIA_RECKONING,"Проверка Воли. При провале переверните эту карту.","Test Will. If you fail, flip this card."
COND_PARANOIA_RECKONING,"Проверка Воли. При провале переверните эту карту.","Test Will. If you fail, flip this card."
COND_HALLUCINATIONS_RECKONING,"Проверка Воли. При провале переверните эту карту.","Test Will. If you fail, flip this card."
COND_LEG_INJURY_RECKONING,"Проверка Силы. При провале переверните эту карту.","Test Strength. If you fail, flip this card."
COND_INTERNAL_INJURY_RECKONING,"Проверка Силы. При провале переверните эту карту.","Test Strength. If you fail, flip this card."
COND_BACK_INJURY_RECKONING,"Проверка Силы. При провале переверните эту карту.","Test Strength. If you fail, flip this card."
COND_POISONED_RECKONING,"Потеряйте 1 здоровье.","Lose 1 Health."
COND_CURSED_RECKONING,"Бросьте 1 кубик. На 4, 5 или 6 сбросьте эту карту.","Roll 1 die. On a 4, 5, or 6, discard this card."
COND_BLESSED_RECKONING,"Бросьте 1 кубик. На 1 или 2 сбросьте эту карту.","Roll 1 die. On a 1 or 2, discard this card."
COND_HEAD_INJURY_RECKONING,"Проверка Силы. При провале переверните эту карту.","Test Strength. If you fail, flip this card."
COND_RIGHTEOUS_RECKONING,"Можете перевернуть эту карту.","You may flip this card."
COND_HAUNTED_RECKONING,"Бросьте 1 кубик. На 1, 2 или 3 переверните эту карту.","Roll 1 die. On a 1, 2, or 3, flip this card."
COND_DESPAIR_RECKONING,"Потеряйте 1 рассудок.","Lose 1 Sanity."
COND_DISEASED_RECKONING,"Проверка Воли −1. При провале переверните эту карту.","Test Will −1. If you fail, flip this card."
COND_FUNDING_RECKONING,"Если вы в городской локации, можете перевернуть эту карту.","If you are in a city space, you may flip this card."
COND_INFECTION_RECKONING,"Проверка Воли. При провале переверните эту карту.","Test Will. If you fail, flip this card."
COND_HUNGER_RECKONING,"Проверка Воли. При провале переверните эту карту.","Test Will. If you fail, flip this card."
COND_HUNTED_RECKONING,"Проверка Наблюдательности. При провале переверните эту карту.","Test Observation. If you fail, flip this card."
COND_AGREEMENT_RECKONING,"Бросьте 1 кубик. На 1 или 2 пришло время платить по счетам; переверните эту карту.","Roll 1 die. On a 1 or 2, the time has come to settle accounts; flip this card."

OUTCOME_NERVE_DAMAGE_NAME,Повреждение нервов,Nerve Damage
OUTCOME_FRACTURED_SPINE_NAME,Перелом позвоночника,Fractured Spine
OUTCOME_INFECTED_WOUND_NAME,Заражённая рана,Infected Wound
OUTCOME_CRUSHED_FINGERS_NAME,Раздробленные пальцы,Crushed Fingers
OUTCOME_SPLITTING_HEADACHE_NAME,Раскалывающая боль,Splitting Headache
OUTCOME_REOPENED_WOUND_NAME,Открывшаяся рана,Reopened Wound
OUTCOME_GANGRENE_NAME,Гангрена,Gangrene
OUTCOME_FAILING_BODY_NAME,Тело отказывает,Failing Body
OUTCOME_SELF_DOUBT_NAME,Сомнение в себе,Self-Doubt
OUTCOME_RELENTLESS_WHISPERS_NAME,Неумолкающий шёпот,Relentless Whispers
OUTCOME_STRANGER_IN_MIRROR_NAME,Незнакомец в зеркале,Stranger in the Mirror
OUTCOME_NIGHT_TERRORS_NAME,Ночные кошмары,Night Terrors
OUTCOME_COMPULSION_NAME,Навязчивость,Compulsion
OUTCOME_FRACTURED_MIND_NAME,Расколотый разум,Fractured Mind
OUTCOME_RAVING_NAME,Помрачение,Raving
OUTCOME_FIT_OF_LAUGHTER_NAME,Приступ смеха,Fit of Laughter
OUTCOME_BURNING_FEVER_NAME,Горячка,Burning Fever
OUTCOME_TREMBLING_HANDS_NAME,Дрожь в руках,Trembling Hands
OUTCOME_CONTAGION_NAME,Заразность,Contagion
OUTCOME_BEDRIDDEN_NAME,Прикованный к постели,Bedridden
OUTCOME_WASTING_SICKNESS_NAME,Истощение,Wasting Sickness
OUTCOME_CREEPING_CHILLS_NAME,Озноб,Creeping Chills
OUTCOME_MENDING_FLESH_NAME,Выздоровление,Mending Flesh
OUTCOME_FEVERISH_DELIRIUM_NAME,Лихорадочный бред,Feverish Delirium
OUTCOME_COLLECTORS_CALL_NAME,Визит сборщика,The Collector's Call
OUTCOME_PRICE_EXACTED_NAME,Взыскание платы,The Price Exacted
OUTCOME_BROKEN_WORD_NAME,Нарушенное слово,Broken Word
OUTCOME_FAVOR_CALLED_IN_NAME,Услуга за услугу,Favor Called In
OUTCOME_COMPOUNDING_DEBT_NAME,Растущий долг,Compounding Debt
OUTCOME_PARTNERS_BETRAYAL_NAME,Предательство компаньона,A Partner's Betrayal
OUTCOME_DEBT_FORGIVEN_NAME,Долг прощён,Debt Forgiven
OUTCOME_HIDDEN_CLAUSE_NAME,Скрытая оговорка,Hidden Clause
OUTCOME_ILL_OMEN_NAME,Дурной знак,Ill Omen
OUTCOME_COLD_HAND_NAME,Холодная ладонь,The Cold Hand
OUTCOME_DARK_MARK_NAME,Тёмная метка,The Dark Mark
OUTCOME_RESTLESS_SPIRIT_NAME,Неупокоенный дух,Restless Spirit
OUTCOME_WITHERING_LUCK_NAME,Иссякшая удача,Withering Luck
OUTCOME_DEEPENING_SHADOW_NAME,Сгущающаяся тень,The Deepening Shadow
OUTCOME_SPIRIT_DEPARTS_NAME,Дух уходит,The Spirit Departs
OUTCOME_BLESSING_OF_NODENS_NAME,Благословение Ноденса,Blessing of Nodens
OUTCOME_GUIDING_LIGHT_NAME,Путеводный огонь,Guiding Light
OUTCOME_SECOND_WIND_NAME,Второе дыхание,Second Wind
OUTCOME_QUIET_MOMENT_NAME,Минута покоя,A Quiet Moment
OUTCOME_FORTUNATE_FIND_NAME,Счастливая находка,Fortunate Find
OUTCOME_STEADY_HAND_NAME,Твёрдая рука,Steady Hand
OUTCOME_LINGERING_GRACE_NAME,Длящаяся милость,Lingering Grace
OUTCOME_ANSWERED_PRAYER_NAME,Услышанная молитва,An Answered Prayer
OUTCOME_THEY_FOUND_YOU_NAME,Вас нашли,They Found You
OUTCOME_CLOSING_IN_NAME,Кольцо сжимается,Closing In
OUTCOME_AMBUSH_NAME,Засада,Ambush
OUTCOME_SHELTER_REVEALED_NAME,Убежище раскрыто,Shelter Revealed
OUTCOME_COLD_TRAIL_NAME,След потерян,Cold Trail
OUTCOME_CAUGHT_OFF_GUARD_NAME,Застигнут врасплох,Caught Off Guard
OUTCOME_FROSTBITE_NAME,Обморожение,Frostbite
OUTCOME_NUMBING_COLD_NAME,Цепенящий холод,Numbing Cold
OUTCOME_BITTER_NIGHT_NAME,Лютая ночь,Bitter Night
OUTCOME_SHELTER_FOUND_NAME,Найдено укрытие,Shelter Found

OUTCOME_NERVE_DAMAGE_TEXT,"Онемение в пальцах вернулось — вы почти не можете удержать предметы и неловко роняете ценную вещь безвозвратно. Сбросьте 1 предмет.","The numbness in your fingers has returned — you can barely keep your grip, and a valuable possession slips away for good. Discard 1 item."
OUTCOME_FRACTURED_SPINE_TEXT,"Острая боль простреливает позвоночник вверх и вниз. Вы едва поднимаете руки — нести всё снаряжение слишком больно. Сбросьте все предметы, кроме одного.","Sharp pain shoots up and down your spine. You can hardly lift your arms — carrying all your gear hurts too much. Discard all items but one."
OUTCOME_INFECTED_WOUND_TEXT,"Снимая пропитанные кровью бинты, вы видите, как из раны сочится жёлтый гной. Резкий запах инфекции кружит голову, вас почти тошнит. Получите состояние «Болезнь».","As you peel away the blood-soaked bandages, yellow pus seeps from the wound. The sharp stench of infection makes your head swim. Gain a Diseased condition."
OUTCOME_CRUSHED_FINGERS_TEXT,"Сустав за суставом пальцы перестают сжиматься. Что-то выскальзывает из непослушной ладони и теряется во тьме под ногами. Сбросьте 1 предмет.","Joint by joint, your fingers stop closing. Something slips from your unresponsive hand and is lost in the dark underfoot. Discard 1 item."
OUTCOME_SPLITTING_HEADACHE_TEXT,"Боль вбивается в висок, как ржавый гвоздь, и мысли расползаются прежде, чем вы успеваете их удержать. Потеряйте 1 рассудок.","Pain drives into your temple like a rusted nail, and your thoughts scatter before you can hold them. Lose 1 Sanity."
OUTCOME_REOPENED_WOUND_TEXT,"Шов не выдержал движения, и тёплая струйка снова находит дорогу наружу. Потеряйте 1 здоровье.","The stitches gave way under the strain, and a warm trickle finds its way out once more. Lose 1 Health."
OUTCOME_GANGRENE_TEXT,"Кожа вокруг раны почернела и больше ничего не чувствует. Лекарь молча качает головой. Получите состояние «Инфекция».","The skin around the wound has blackened and feels nothing at all. The doctor only shakes his head. Gain an Infection condition."
OUTCOME_FAILING_BODY_TEXT,"Тело перестаёт слушаться так, как прежде; каждое движение даётся с боем, и привычная сноровка уходит. Сбросьте 1 жетон улучшения.","Your body no longer obeys as it once did; every motion is a fight, and your hard-won skill slips away. Discard 1 improvement token."
OUTCOME_SELF_DOUBT_TEXT,"Ваши друзья и коллеги были правы. Какая надежда хоть что-то изменить? Простым смертным не остановить древних могущественных существ. Сбросьте все жетоны улучшений.","Your friends and colleagues were right. What hope is there to change anything? Mere mortals cannot stop ancient and mighty beings. Discard all improvement tokens."
OUTCOME_RELENTLESS_WHISPERS_TEXT,"Голоса не умолкают даже во сне. Вы исписываете их словами поля своих заметок, пока бумага не темнеет. Сбросьте 1 улику.","The voices will not fall silent, even in sleep. You fill the margins of your notes with their words until the paper turns black. Discard 1 Clue."
OUTCOME_STRANGER_IN_MIRROR_TEXT,"Из зеркала смотрит кто-то почти знакомый — и улыбается на мгновение позже, чем вы. Потеряйте 1 рассудок.","Someone almost familiar watches from the mirror — and smiles a moment later than you do. Lose 1 Sanity."
OUTCOME_NIGHT_TERRORS_TEXT,"Сон оборачивается коридорами без дверей и шорохом за спиной; вы просыпаетесь более измотанным, чем легли. Потеряйте 1 рассудок.","Sleep turns to doorless corridors and a rustling at your back; you wake more exhausted than you lay down. Lose 1 Sanity."
OUTCOME_COMPULSION_TEXT,"Вы не можете пройти мимо, не пересчитав трещины в мостовой, ступени, окна. Часы утекают сквозь пальцы. Сбросьте 1 улику.","You cannot walk past without counting the cracks in the pavement, the steps, the windows. Hours slip through your fingers. Discard 1 Clue."
OUTCOME_FRACTURED_MIND_TEXT,"Между «до» и «сейчас» пролегла трещина, и часть вас осталась по ту сторону. Получите состояние «Амнезия».","A fissure has opened between 'before' and 'now,' and part of you remains on the far side. Gain an Amnesia condition."
OUTCOME_RAVING_TEXT,"Стены дышат, потолок стекает вниз медовыми каплями, и вы больше не отличаете явь от бреда. Потеряйте 1 рассудок и сбросьте 1 улику.","The walls breathe, the ceiling drips down in honeyed beads, and you can no longer tell waking from delirium. Lose 1 Sanity and discard 1 Clue."
OUTCOME_FIT_OF_LAUGHTER_TEXT,"Смех вырывается сам — неуместный, неудержимый, — и прохожие переходят на другую сторону улицы. Потеряйте 1 рассудок.","The laughter escapes on its own — misplaced, unstoppable — and passersby cross to the other side of the street. Lose 1 Sanity."
OUTCOME_BURNING_FEVER_TEXT,"Жар поднимается волнами, и в их гребнях мелькают лица тех, кого давно нет. Потеряйте 1 здоровье.","The fever rises in waves, and in their crests flicker the faces of the long dead. Lose 1 Health."
OUTCOME_TREMBLING_HANDS_TEXT,"Озноб не унимается, руки ходят ходуном, и простейшее дело отнимает все силы. Потеряйте 1 здоровье.","The chills will not ease, your hands shake without stop, and the simplest task drains all your strength. Lose 1 Health."
OUTCOME_CONTAGION_TEXT,"Кашель сопровождает вас повсюду, и те, кто был рядом, теперь сторонятся вас. Болезнь нашла новых хозяев. Потеряйте 1 здоровье.","A cough follows you everywhere, and those who stood near now keep their distance. The sickness has found new hosts. Lose 1 Health."
OUTCOME_BEDRIDDEN_TEXT,"Сил не остаётся даже подняться; мир сужается до сырого потолка над головой. Потеряйте 1 здоровье и 1 рассудок.","You haven't the strength even to rise; the world narrows to a damp ceiling overhead. Lose 1 Health and 1 Sanity."
OUTCOME_WASTING_SICKNESS_TEXT,"Одежда висит мешком — тело тает день за днём, и вместе с ним уходит сноровка. Сбросьте 1 жетон улучшения.","Your clothes hang loose — your body wastes away day by day, and your skill goes with it. Discard 1 improvement token."
OUTCOME_CREEPING_CHILLS_TEXT,"Холод пробирает до костей, хотя за окном духота. Зубы стучат сами собой. Потеряйте 1 здоровье.","Cold seeps into your bones though the air outside is stifling. Your teeth chatter on their own. Lose 1 Health."
OUTCOME_MENDING_FLESH_TEXT,"К утру жар спадает, и впервые за долгие дни вы дышите полной грудью. Тело пошло на поправку.","By morning the fever breaks, and for the first time in days you draw a full breath. Your body is on the mend."
OUTCOME_FEVERISH_DELIRIUM_TEXT,"Лихорадка путает дни и ночи; вы теряете счёт времени и собственным шагам. Получите состояние «Амнезия».","The fever blurs days into nights; you lose count of time and of your own steps. Gain an Amnesia condition."
OUTCOME_COLLECTORS_CALL_TEXT,"В дверь стучат вежливо, но настойчиво. Тот, с кем вы условились, пришёл за своей долей. Сбросьте 2 улики.","A knock at the door, polite but insistent. The one you made terms with has come for his share. Discard 2 Clues."
OUTCOME_PRICE_EXACTED_TEXT,"Сделка исполнена до последней буквы — и отданное уже не вернуть. Сбросьте 1 предмет.","The bargain is honored to the last letter — and what was given cannot be reclaimed. Discard 1 item."
OUTCOME_BROKEN_WORD_TEXT,"Вы не сдержали слово, и теперь об этом знают нужные люди. Двери закрываются одна за другой. Получите состояние «Долг».","You failed to keep your word, and now the right people know it. Doors close one after another. Gain a Debt condition."
OUTCOME_FAVOR_CALLED_IN_TEXT,"Услуга за услугу — так было условлено. Настала ваша очередь, и отказ не предусмотрен. Сбросьте 1 предмет.","A favor for a favor — so it was agreed. Now it is your turn, and refusal was never an option. Discard 1 item."
OUTCOME_COMPOUNDING_DEBT_TEXT,"Долг рос, пока вы отворачивались, и теперь он больше вас самих. Сбросьте 2 улики.","The debt grew while you looked away, and now it is larger than you are. Discard 2 Clues."
OUTCOME_PARTNERS_BETRAYAL_TEXT,"Тот, кому вы доверились, исчез — вместе с тем, что вам дорого. Сбросьте 1 предмет и 1 улику.","The one you trusted has vanished — along with what you held dear. Discard 1 item and 1 Clue."
OUTCOME_DEBT_FORGIVEN_TEXT,"Записка без подписи: «Мы в расчёте». Камень падает с плеч.","An unsigned note: 'We are even.' A weight lifts from your shoulders."
OUTCOME_HIDDEN_CLAUSE_TEXT,"Вы перечитываете контракт и находите строку, которой прежде там не было. Получите состояние «Соглашение».","You reread the contract and find a line that was not there before. Gain an Agreement condition."
OUTCOME_ILL_OMEN_TEXT,"Ворон срывается с карниза ровно в тот миг, когда вы поднимаете взгляд. Дурной знак идёт за вами по пятам. Потеряйте 1 рассудок.","A raven bolts from the ledge the very moment you look up. An ill omen dogs your every step. Lose 1 Sanity."
